Ciqual AGB,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
18067,boissons,boissons sans alcool,"Cola, sucré, sans caféine","Cola, with sugar and without caffeine",0.07100011,0.49334027,4.2469138e-07,0.22420369,0.0018828073,3.4925298e-08,5.9442166e-09,2.6287051e-10,0.0036141458,8.0833941e-05,0.0010155102,0.013230439,10.4606514,13.214519,0.30746082,10.404685,1.2861118e-05
18039,boissons,boissons sans alcool,Diabolo (limonade et sirop),Lemonade with a flavoured syrup,0.081128228,0.55035279,4.2596203e-07,0.22709076,0.0021266043,4.5684804e-08,4.6245393e-09,2.8493488e-10,0.0050413645,9.4750871e-05,0.0014978089,0.019363642,10.7597248,15.614586,0.49908995,10.996178,1.3193279e-05
2000,boissons,boissons sans alcool,"Jus d'ananas, à base de concentré","Pineapple juice, reconstituted from a concentrate",0.17884655,0.93319423,5.2726286e-07,0.13060907,0.0052724165,5.9817711e-08,2.4109677e-07,2.3578871e-09,0.0072122913,0.00032985372,0.011029263,0.026754161,55.953631,36.804985,0.19030485,13.565298,1.7446858e-05
2073,boissons,boissons sans alcool,"Jus d'ananas, pur jus","Pineapple juice, pure juice",0.2470029,1.2469234,5.3339527e-07,0.12619908,0.010330231,8.1014478e-08,3.3246047e-07,3.2656919e-09,0.013235418,0.00041272359,0.016308326,0.048930302,77.27308500000001,50.432496,0.23308294,16.777257,1.9459065e-05
0001,boissons,boissons sans alcool,Jus de betterave,"Beetroot juice, pure juice",0.096145593,0.76676769,5.2445928e-07,0.12818066,0.0029097869,4.738397e-08,1.4040746e-08,4.9317212e-10,0.0046582303,0.00014078813,0.0018457783,0.01673623,15.1097862,9.2891498,0.84387237,10.954798,1.618345e-05
2006,boissons,boissons sans alcool,"Jus de carotte, pur jus","Carrot juice, pure juice",0.079296325,0.47743858,5.2090693e-07,0.17132595,0.0015022158,3.0590847e-08,1.4685143e-08,3.602066e-10,0.002820622,9.4332359e-05,0.001861892,0.0074012739,26.5082643,13.64507,0.60011378,9.5666769,1.5387549e-05
2028,boissons,boissons sans alcool,"Jus de citron, pur jus","Lemon juice, pure juice",0.13935305,0.83703894,5.2662079e-07,0.14612336,0.0040842449,7.4822524e-08,2.3024917e-08,8.1841083e-10,0.0092513634,0.00017657594,0.0021686545,0.035530332,61.783118,72.422842,0.68944152,12.401595,1.7058654e-05
0002,boissons,boissons sans alcool,Jus de fruits rouges,"Mixed red fruits juice, pure juice",0.135609,0.71452376,5.2583741e-07,0.1769396,0.0028771957,5.3259364e-08,7.8554857e-08,1.5726577e-09,0.0059445938,0.00018380772,0.0046712774,0.023539918,23.4811327,154.54939,0.96168001,11.678343,1.8155103e-05
2023,boissons,boissons sans alcool,"Jus de mangue, frais","Mango juice, fresh",0.07885806799999999,0.56008925,5.1846408e-07,0.15612231,0.00243389,3.9743739e-08,5.4555252e-09,2.782246e-10,0.0041229561,8.7851258e-05,0.001650871,0.014676103,5.2914029,23.629947,0.59107006,10.157515,1.4858403e-05
2027,boissons,boissons sans alcool,"Jus de pamplemousse (pomelo), pur jus","Grapefruit juice, pure juice",0.52526297,1.0610212,5.381955e-07,0.13805826,0.0076706574,5.1659067e-08,4.1593118e-08,6.0451216e-10,0.0094784179,0.00022335943,0.0053737258,0.030591086,234.440871,37.741496,41.302349,14.832202,2.7344463e-05
2074,boissons,boissons sans alcool,"Jus de pomme, pur jus","Apple juice, pure juice",0.076596878,0.56653634,5.2730338e-07,0.17908448,0.00177442,2.8519929e-08,1.0757364e-08,4.819849e-10,0.0022895546,8.7448653e-05,0.0009572908,0.0077363261,13.1870245,18.792469,0.67119836,10.268863,1.5149479e-05
2016,boissons,boissons sans alcool,"Jus de raisin, pur jus","Grape juice, pure juice",0.09925190099999999,0.57950065,5.216875e-07,0.13805474,0.0021265741,3.2651908e-08,7.9514725e-08,1.4044028e-09,0.003132518,0.00013900462,0.0039900573,0.011622011,11.3949712,71.338248,0.29839697,9.528691,1.7483012e-05
2053,boissons,boissons sans alcool,"Jus de tomate, pur jus (aliment moyen)","Tomato juice, pure juice (average)",0.10892775,0.63410363,5.2411974e-07,0.13466039,0.0025135892,3.671746e-08,1.4752944e-08,4.3689679e-10,0.003613106,9.6856752e-05,0.0016798132,0.012523284,11.6886188,13.477172,4.0299091,10.737376,1.52548e-05
2012,boissons,boissons sans alcool,"Jus d'orange, à base de concentré","Orange juice, reconstituted from a concentrate",0.12499971,0.90618842,5.2284618e-07,0.12847935,0.004149086,7.236206e-08,1.4275919e-08,4.3062942e-10,0.0074183381,0.00015351514,0.0034305901,0.028968147,41.3801286,28.264301,0.68033742,12.684329,1.6014193e-05
2013,boissons,boissons sans alcool,"Jus d'orange, maison","Orange juice, home-made",0.21396727,1.5980716,5.4387761e-07,0.33501491,0.01005521,1.0751785e-07,3.145352e-08,9.8024415e-10,0.017099278,0.00024570418,0.0067588117,0.059619308,36.402951,46.50274,2.0349012,23.448536,1.94462e-05
