0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11035,19,"Origan, séché","Oregano, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
11014,19,"Persil, frais","Parsley, fresh",0.18127327,1.1231483,1.248839e-08,0.086023506,0.0052381437,1.0442677e-07,6.1213422e-08,1.7888612e-09,0.014430024,0.00023577424999999999,0.020749776,0.061835567,6.660553200000001,130.38336,1.8596843,13.641594,4.5176188e-06
11024,19,"Persil, séché","Parsley, dried",0.7776502000000001,4.3405645,2.0203422e-07,0.36520865,0.024225561,4.6356188e-07,2.7231218e-07,7.8747015e-09,0.066995391,0.0010376329,0.094152979,0.28261444,39.23030780000001,590.20475,8.1137208,47.626463,1.5953231e-05
11016,19,"Raifort, cru","Horseradish, fresh",0.069253861,0.74075938,9.6297698e-09,0.11081449,0.0017339389,3.2315636e-08,1.190894e-08,3.2371128e-10,0.0023995171,8.9162845e-05,0.0014524094,0.0059014728,18.9115396,10.211289,0.52683167,12.040472,3.2849686e-06
11068,19,"Romarin, frais","Rosemary, fresh",0.12872638,0.87885579,8.2938868e-09,0.086728603,0.0026085227,6.9189629e-08,1.2313772e-08,3.5580281e-10,0.007614646,0.00015147342,0.0039710176,0.030321656,5.8384534,35.120747,5.1558959,12.436291,3.7502898e-06
11036,19,"Romarin, séché","Rosemary, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
11062,19,"Sarriette, séchée","Savory, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
11069,19,"Sauge, fraîche","Sage, fresh",0.12872638,0.87885579,8.2938868e-09,0.086728603,0.0026085227,6.9189629e-08,1.2313772e-08,3.5580281e-10,0.007614646,0.00015147342,0.0039710176,0.030321656,5.8384534,35.120747,5.1558959,12.436291,3.7502898e-06
11037,19,"Sauge, séchée","Sage, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
11070,19,"Thym, frais","Thyme, fresh",0.12872638,0.87885579,8.2938868e-09,0.086728603,0.0026085227,6.9189629e-08,1.2313772e-08,3.5580281e-10,0.007614646,0.00015147342,0.0039710176,0.030321656,5.8384534,35.120747,5.1558959,12.436291,3.7502898e-06
11038,19,"Thym, séché","Thyme, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
11507,22,Bicarbonate de soude,Sodium bicarbonate,0.25110418,1.6064907,1.7854294e-08,0.15423266,0.0060431065,2.0670311e-07,3.6910891e-08,1.2667195e-09,0.018233488,0.00069153764,0.0026479929,0.047886112,88.178845,19.384345,2.035194,18.249682,3.6065108e-05
11007,22,"Gélatine, sèche","Gelatine, dried",0.32293448,2.6155573,3.955754e-08,0.50677437,0.0062861918,2.8981044e-07,2.9660854e-08,1.8858988e-09,0.03784219,0.00039797498,0.011474302,0.16099012,72.580198,136.73267,0.85047415,22.882011,1.0672563e-05
42200,22,Lécithine de soja,Soy lecithin,0.4500748,5.4009111,4.3196595e-08,0.21125354,0.02072227,1.5186535e-07,8.9376713e-08,3.7656116e-09,0.018445838,0.00039710437,0.025508292,0.060024183,238.09,44.413479,0.67348129,38.150433,1.2592447e-05
31089,22,Sirop d'agave,"Syrup, agave",0.7554423,5.6299813,2.1032329e-06,2.8348457,0.048079343,2.8047112e-07,1.5594319e-07,6.5075191e-09,0.043364836,0.0012601791,0.016683382,0.17203887,65.64874900000001,155.56952,0.67594401,126.74695,8.1941927e-05
31034,22,Sirop d'érable,"Syrup, maple",0.30459541,2.302101,2.2917263e-06,0.20412477,0.010969366,3.1032761e-07,2.9410758e-08,1.2302144e-09,0.010991553,0.00029501096,0.0035494137,0.032570455,12.5673866,72.312319,2.4961793,32.427636,5.8195436e-05
20919,22,Sirop léger pour fruits appertisés au sirop,Light syrup for canned fruits in syrup,0.14055286,0.93421206,2.0233195e-06,0.1505853,0.0025915205,4.6844973e-08,7.2957091e-09,3.4478012e-10,0.0043487067,0.00014243555,0.001246366,0.013738042,4.1805382,6.5790088,0.42276596,16.237894,5.1108801e-05
20918,22,Sirop pour fruits appertisés au sirop,Syrup for canned fruits in syrup,0.14055286,0.93421206,2.0233195e-06,0.1505853,0.0025915205,4.6844973e-08,7.2957091e-09,3.4478012e-10,0.0043487067,0.00014243555,0.001246366,0.013738042,4.1805382,6.5790088,0.42276596,16.237894,5.1108801e-05
9640,22,Son d'avoine,Oat bran,0.11611859,0.58925644,1.1219054e-08,0.10459315,0.0022307976,6.1431809e-08,6.8588983e-09,4.5641333e-10,0.0069988086,0.00036316962,0.026472075,0.028798021,5.8496018,90.098414,0.27512621,6.9171832,2.6611451e-06
9621,22,Son de blé,Wheat bran,0.045623909,0.37237794,7.0003588e-09,0.12351155,0.0012604452,3.1978513e-08,3.3640816e-09,4.0250443e-10,0.003537589,7.2463912e-05,0.0022978386,0.014472659,5.3584278,30.512518,0.086312429,5.6366648,1.8108006e-06
9641,22,Son de maïs,Maize/corn bran,0.054420374,0.39680523,1.071878e-08,0.11883929,0.0014088469,4.326596e-08,6.2433001e-09,3.8881807e-10,0.0046069422,7.4851178e-05,0.0019425391,0.019775501,11.67205758,27.228078,0.3062152,6.0258194,1.9294881e-06
9643,22,Son de riz,Rice bran,0.22386285,1.1143096,1.815442e-08,0.10552983,0.004299901,8.928301e-08,3.402842e-07,3.225661e-10,0.012869871,0.00013560687,0.010579655,0.051880285,30.3545382,32.514973,7.0986246,8.1470775,3.2494303e-06
20917,22,Tempeh,Tempeh,0.20014809,2.3656215,2.4263449e-08,0.16444756,0.0060899555,9.2586031e-08,3.368212e-08,7.1734572e-10,0.0087591966,0.00038704797,0.0087482375,0.023760477,6.099164999999999,89.903159,1.1755152,35.555616,4.7945229e-06
11082,40,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",0.070768688,0.63237955,1.0860958e-08,0.10901551,0.0025347686,4.6972351e-08,1.2991138e-08,4.6165183e-10,0.0032064814,0.00026706725,0.00094460313,0.0076405203,5.5745964,14.259906,0.077561849,9.0507271,1.0679982e-05
11044,40,Sel au céleri,Celery salt,0.070768688,0.63237955,1.0860958e-08,0.10901551,0.0025347686,4.6972351e-08,1.2991138e-08,4.6165183e-10,0.0032064814,0.00026706725,0.00094460313,0.0076405203,5.5745964,14.259906,0.077561849,9.0507271,1.0679982e-05
11058,40,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",0.070768688,0.63237955,1.0860958e-08,0.10901551,0.0025347686,4.6972351e-08,1.2991138e-08,4.6165183e-10,0.0032064814,0.00026706725,0.00094460313,0.0076405203,5.5745964,14.259906,0.077561849,9.0507271,1.0679982e-05
11017,40,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), no enrichment",0.070768688,0.63237955,1.0860958e-08,0.10901551,0.0025347686,4.6972351e-08,1.2991138e-08,4.6165183e-10,0.0032064814,0.00026706725,0.00094460313,0.0076405203,5.5745964,14.259906,0.077561849,9.0507271,1.0679982e-05
11083,40,"Sel marin gris, non iodé, non fluoré","Sea salt, grey, no enrichment",0.070768688,0.63237955,1.0860958e-08,0.10901551,0.0025347686,4.6972351e-08,1.2991138e-08,4.6165183e-10,0.0032064814,0.00026706725,0.00094460313,0.0076405203,5.5745964,14.259906,0.077561849,9.0507271,1.0679982e-05
13167_1,12,"Céréales instantanées, poudre à reconstituer, dès 4/6 mois",Instant cereal (powder to be reconstituted) for baby from 4/6 months,0.36658469,2.1972414,4.1730371e-08,0.26503186,0.0086722833,2.0912302e-07,2.5500106e-08,1.1568264e-08,0.020865467,0.0012324319,0.06756005,0.082659201,22.1012637,244.20006,1.0548422,24.030298,7.1056136e-06
13168_1,12,"Céréales instantanées, poudre à reconstituer, dès 6 mois",Instant cereal (powder to be reconstituted) for baby from 6 months,0.36658469,2.1972414,4.1730371e-08,0.26503186,0.0086722833,2.0912302e-07,2.5500106e-08,1.1568264e-08,0.020865467,0.0012324319,0.06756005,0.082659201,22.1012637,244.20006,1.0548422,24.030298,7.1056136e-06
13167_2,12,"Céréales instantanées, poudre reconstituée chez le consommateur, dès 4/6 mois","Instant cereal for baby from 4/6 months, rehydrated with milk at consumer step",0.10686832,0.91131368,3.7737848e-08,0.25492265,0.002833224,6.7552599e-08,1.1545533e-08,1.5569343e-09,0.007105443,0.00020853222,0.0079561581,0.028240226,10.8481417,51.095445,0.32153383,12.758678,3.7555041e-06
13168_2,12,"Céréales instantanées, poudre reconstituée chez le consommateur, dès 6 mois","Instant cereal for baby from 6 months, rehydrated with milk at consumer step",0.10686832,0.91131368,3.7737848e-08,0.25492265,0.002833224,6.7552599e-08,1.1545533e-08,1.5569343e-09,0.007105443,0.00020853222,0.0079561581,0.028240226,10.8481417,51.095445,0.32153383,12.758678,3.7555041e-06
3000_1,24,"Lait 1er âge, poudre soluble (préparation pour nourrissons)","Baby milk, first age, powder, non rehydrated",0.7803829,8.0506933,8.8411348e-08,0.50180915,0.016052283,6.7791695e-07,1.0115107e-07,9.6294051e-09,0.092622186,0.00081013517,0.028923579,0.39900546,107.199873,406.0034,1.9825976,38.10749,1.5652099e-05
