"UUID du flux";"Nom du flux";Commentaire;Type;"Catégorie 1";"Catégorie 2";"Catégorie 3";"Quantité de référence";Unité
"Flow UUID";"Flow name";Comment;Type;"Category 1";"Category 2";"Category 3";"Reference quantity";Unit
4f1a1827-7b3b-11dd-ad8b-0800200c9a66;"process steam from light fuel oil";;"Product flow";;;;1;MJ
49c501ce-9480-4d08-9e7d-c826fd42bf98;"phosphoric acid";;"Product flow";;;;1;kg
8009e0f4-9f03-4a6c-9f41-c77fa52afa3f;"Continuous filament glass fibre";;"Product flow";;;;1;kg
4f19f111-7b3b-11dd-ad8b-0800200c9a66;"polyacrylonitrile fibres (PAN)";;"Product flow";;;;1;kg
4f19ca15-7b3b-11dd-ad8b-0800200c9a66;oxygen;;"Product flow";;;;1;kg
4f19a306-7b3b-11dd-ad8b-0800200c9a66;kerosene;;"Product flow";;;;1;kg
4f1a182d-7b3b-11dd-ad8b-0800200c9a66;"sand 0/2";;"Product flow";;;;1;kg
4f1a3f3f-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of wood products (OSB, particle board)";;"Product flow";;;;1;kg
4f1a182b-7b3b-11dd-ad8b-0800200c9a66;"propene (propylene)";;"Product flow";;;;1;kg
99c4634f-d49e-4261-84c2-6f31245dfb6c;"Chromium Solution";;"Product flow";;;;1;kg
4f19a304-7b3b-11dd-ad8b-0800200c9a66;"hydrogen chloride gas";;"Product flow";;;;1;kg
4f19a2f9-7b3b-11dd-ad8b-0800200c9a66;"gasoline (regular)";;"Product flow";;;;1;kg
c12546b4-ea94-4d96-8a7d-dce1a8da85cd;Cryolite;;"Product flow";;;;1;kg
4f19ca19-7b3b-11dd-ad8b-0800200c9a66;"pine wood";;"Product flow";;;;1;kg
3b66e7a0-3272-48ec-b86e-bdae4ab845d4;"iron chloride";;"Product flow";;;;1;kg
4f1a3f34-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of glass/inert material";;"Product flow";;;;1;kg
4f197bec-7b3b-11dd-ad8b-0800200c9a66;"corrugated board boxes";;"Product flow";;;;1;kg
96d07520-69a0-472e-8311-e079115e90b3;"Calcium carbonate (> 63 microns)";;"Product flow";;;;1;kg
4bac0b69-3743-4f47-acd5-fffd2d7b73ee;Gypsum;;"Product flow";;;;1;kg
4f1a1831-7b3b-11dd-ad8b-0800200c9a66;"special high grade zinc";;"Product flow";;;;1;kg
4f19f121-7b3b-11dd-ad8b-0800200c9a66;"polyvinylchloride resin (E-PVC)";;"Product flow";;;;1;kg
5bfde48d-e2ff-4353-94c9-2463cfa26a24;"Continuous Casting Sludge";;"Product flow";;;;1;kg
4f1a1836-7b3b-11dd-ad8b-0800200c9a66;"steel hot rolled section";;"Product flow";;;;1;kg
321707be-ab32-4147-be1d-7d9f54f7e554;"Cold rolling emulsion treatment sludge";;"Product flow";;;;1;kg
4f19f128-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
4f19f12a-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
4f19f120-7b3b-11dd-ad8b-0800200c9a66;"polyvinylchloride resin (B-PVC)";;"Product flow";;;;1;kg
2896e915-230a-4f10-ba72-8922752219aa;"Slag (unspecified)";;"Product flow";"Deposited goods";"Stockpile goods";;1;kg
4f19ca12-7b3b-11dd-ad8b-0800200c9a66;"nylon 66 GF 30 compound (PA 66 GF 30)";;"Product flow";;;;1;kg
c7bf847f-c72e-4fe8-b642-ed539dbd4b39;"Continuous filament glass fibre";;"Product flow";;;;1;kg
4f1a3f40-7b3b-11dd-ad8b-0800200c9a66;"waste water - untreated";;"Product flow";;;;1;kg
4f197be7-7b3b-11dd-ad8b-0800200c9a66;"beverage carton - generic";;"Product flow";;;;1;m2
9f8f445c-e172-49f6-8881-bcf2a9824588;"Plastic (unspecified)";;"Product flow";;;;1;kg
4f1a3f3c-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of plastics (unspecified) fraction in municipal solid waste (MSW)";;"Product flow";;;;1;kg
4f1a3f44-7b3b-11dd-ad8b-0800200c9a66;"waste water - untreated";;"Product flow";;;;1;kg
4f1a3f41-7b3b-11dd-ad8b-0800200c9a66;"waste water - untreated";;"Product flow";;;;1;kg
4f19a303-7b3b-11dd-ad8b-0800200c9a66;"high impact polystyrene granulate (HIPS)";;"Product flow";;;;1;kg
f24aafe3-8c41-466a-97c8-001dd37c60de;"Waste (solid)";;"Product flow";"Production residues in life cycle";"Waste for disposal";;1;kg
d04a30d7-d8af-4f55-94db-36aafde16134;"Gypsum (FDI)";;"Product flow";;;;1;kg
4f197be1-7b3b-11dd-ad8b-0800200c9a66;"aerated concrete block";;"Product flow";;;;1;kg
730a8553-cec5-4502-80c1-324e87ba7a3b;"Iron scrap";;"Product flow";;;;1;kg
4f19f125-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
dbd7d498-71ef-418a-869a-dad68f6d0ac4;"Rolling gravel";;"Product flow";;;;1;kg
4f19ca07-7b3b-11dd-ad8b-0800200c9a66;"liquid packaging board (LPB)";;"Product flow";;;;1;kg
e0f56c8b-2a34-4e05-b668-9cbc65ce6f4d;"Waste for recovery (unspecific)";;"Product flow";;;;1;kg
94c8e839-62a6-4ebc-8cc7-c6ef6450171a;"Natrium oxide";;"Product flow";;;;1;kg
90eeac26-9d47-4968-a23b-3150a18075f7;"GCC dry";;"Product flow";"Valuable substances";Materials;Minerals;1;kg
6660cce7-1d50-4a4a-a893-57f84751a1d8;"BF Gas Sludge";;"Product flow";;;;1;kg
4f1a1823-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
1512d759-45f7-4cf2-a42c-d02a8f71a19f;"zinc oxide";;"Product flow";;;;1;kg
4f1a3f43-7b3b-11dd-ad8b-0800200c9a66;"waste water - untreated";;"Product flow";;;;1;kg
88eb6cae-e114-425b-b88a-5edf6677a947;"Kaolin coarse filler";;"Product flow";;;;1;kg
4f19ca16-7b3b-11dd-ad8b-0800200c9a66;"particle board";;"Product flow";;;;1;kg
921de03b-28b1-4c75-8642-204afbc79d2d;Battery;;"Product flow";"Production residues in life cycle";"Waste for recovery";;1;kg
4f19f11b-7b3b-11dd-ad8b-0800200c9a66;"polymethyl methacrylate (PMMA) beads";;"Product flow";;;;1;kg
4f19a2fa-7b3b-11dd-ad8b-0800200c9a66;"glass wool";;"Product flow";;;;1;kg
4f1a1822-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
d7aa83f8-cc36-42d3-9475-2b241a4cc9ba;Tailings;;"Product flow";;;;1;kg
4f19ca06-7b3b-11dd-ad8b-0800200c9a66;lignite;;"Product flow";;;;1;kg
2d2e7120-4341-47bf-a987-c57137f7a640;"Secondary fuel";;"Product flow";"Production residues in life cycle";;;1;MJ
4f197bf1-7b3b-11dd-ad8b-0800200c9a66;diesel;;"Product flow";;;;1;kg
59eb6afc-667c-490f-92ee-d251fb2b1107;"Graphic paper (typical European)";;"Product flow";;;;1;kg
4f19a2f2-7b3b-11dd-ad8b-0800200c9a66;"electricity mix";;"Product flow";;;;1;MJ
eabd7c6e-b27a-43b1-b299-b6ca5ec3a270;"gypsum suspension";;"Product flow";;;;1;kg
2777ed60-56c8-47fe-b1d1-eb16fb16df82;"PCC slurry - dry matter";;"Product flow";"Valuable substances";Materials;Minerals;1;kg
31acbcbd-e0d8-4efa-8511-4b4c0ee9ae04;"Lignite EU-27";;"Product flow";"Valuable substances";"Energy carrier";Fuels;1;kg
88c10493-a480-431e-9ea2-372d3a99318d;"hydrated lime dry slaked";;"Product flow";;;;1;kg
